sigma_1,sigma_2,err_1,err_2
108.07204622743266,123.65090868826476,10.302417617906558,12.747631316698191
207.3728294685297,222.5593185856412,10.852692918382369,13.51315927499729
184.8495496065343,207.3288322153824,15.597644475038722,16.206306340276647
194.46826570426785,195.91002636650848,10.26639704700492,12.32205850746564
174.27582573785978,183.9999881201843,10.666900385421409,11.342741395393809
149.7497461113353,147.70138260311043,9.793547338056836,10.951470360690664
84.46681670716045,79.13511277954618,8.092715396104662,8.39351222523795
170.69156327858187,186.7989700250181,9.762735038673004,10.886814883095145
131.00394904742177,145.7845630560236,8.163233848686666,9.796171196445554
189.7078337109709,178.40372898112136,11.170377293529624,11.384686093874988
164.0515867524695,164.71900738926718,6.095042587703342,11.3944785958081
143.51262769194693,150.37002566053235,6.202875012509248,14.477745448849369
112.86253275092083,97.37256490541746,9.391602886562156,9.801469821753042
284.49685448780195,268.2020535047355,15.00143750423067,14.562285231669948
77.86557685585403,121.30101980412896,8.316630807063236,24.870199382964447
125.94987914911196,104.00662248905816,13.245324156382445,10.340912996768646
183.31967893387505,170.3719989108414,8.385932837253405,11.717517188520135
138.65109503333903,121.5757607550383,9.336856526103674,9.646373599425797
117.14930250483404,128.88928754922136,9.631264908112788,12.523732932959442
129.2727099591571,131.1615349066472,8.36836536022863,15.957301175503472
158.70662575809388,181.40660647435675,9.717521474395753,16.017352481140353
152.89571960571087,161.16226994457014,10.824213914725108,10.743174055372466
49.2367685978814,42.59733950685757,5.4256304510747,10.253417509228468
92.59376715431364,79.31073969332333,9.081628300029069,12.563336622470928
269.8387398546573,286.6557299652186,7.226215130280019,15.336617731231588
174.86353403268868,176.1809634627159,9.689912306803103,9.64043385614332
188.84399875631988,166.4412635639195,11.173585885777324,11.471727273620257
275.864698655571,289.9978607846051,13.42649204186712,15.174133641551176
114.79992031808048,112.07666083308165,8.898908977737674,12.008556441086446
162.8528308115556,180.31981440242456,7.499929929089124,11.315170379520977
84.73828059772042,96.01933957555264,11.193982571671391,13.399299628475944
98.20522130236486,82.60672829303313,10.701162974273824,16.481098004394184
167.62712499285402,142.57951024479348,14.784551193912462,13.614179685992726
128.9867214587723,140.76362295886906,3.69631891387844,12.14201364114232
227.31704068203695,252.0452310159893,10.153094556438806,13.360937930107443
109.89607269941398,99.0345282912095,9.07918725392605,10.776654447250769
96.56789704931803,70.91560704226187,7.722974826656528,7.751083636432548
139.2651717043668,134.9995305283089,11.374687325444867,11.020513537433192
119.72103140305602,120.6689797225025,9.597778556711702,10.614892679529031
58.32686160501637,57.648764086273225,6.151742082906679,6.573819561773512
208.7964089411765,212.1458997511241,15.34866832850508,20.318466092848688
211.54419356212568,223.88516885966575,10.42432887699544,14.448253886184377
138.31434726522198,140.6642124628118,9.520464616110289,10.799373845796572
149.00796188164284,149.99192279991124,9.466295993590087,7.606120341148525
107.4989729807979,149.0694357673784,7.768666925601951,10.094300813676565
219.02828262682723,214.50865488196737,19.15514233978289,18.863670289171
160.13804903818453,135.52917107645067,10.748845586125116,11.49713750709492
218.60046575897425,235.7189503358712,11.42213267245362,11.609820951438282
92.7358932580284,96.6972462826742,10.047054923798848,10.09283121979758
131.9762982821719,83.35022306029751,7.817994313028557,17.363631558368148
178.41653881768133,159.8826126454285,12.113885191003062,10.758923176624998
136.25603546328963,111.4648243298482,13.371926937268109,11.812321795659535
180.3191607008583,188.74346176154,5.222002252914259,15.991762187846447
181.6564723230569,187.36661518469597,12.951888874861488,18.42112315689436
114.15420702926296,135.83658414789755,7.599680381285948,10.398276083702791
128.57516462110362,151.4255149182672,8.84773219661907,12.34883907132672
125.64961766398436,137.66001710361937,12.619933121654284,15.598684069837432
153.2753199220244,152.1276083985465,10.535642311514067,10.184703319431948
67.60080317227802,67.74935252144444,7.426865178015743,10.03065658856157
191.1329275838334,225.08234479841764,6.244876067958573,25.809367648174003
94.92359801570144,102.37290466662353,9.685952600215195,11.70362367473835
128.15541580239574,128.96985333940273,8.810777523306584,12.565583667075334
190.82557999327267,176.33578986780424,10.687757507042642,11.435165070997572
166.45285577444645,151.65466978669957,10.970589108515943,12.87927436857004
128.3381705202886,139.37770860058933,5.528858510409872,17.64306585045952
178.6692376716266,180.5754402584186,11.248379056944543,13.081786741404237
211.50253774777983,225.54156520052385,11.33343769049235,10.3283053630462
153.25179981026707,168.66117029265374,9.579900617634326,11.351246026510465
72.03431401256493,148.46033900766645,11.442063994435488,22.454476412974323
126.40580528545992,143.8052764464839,10.696078737352664,14.38962522556744
144.1627584974652,157.75400424173694,13.58880402362081,18.259415046363557
116.35942654735372,123.38026022112967,10.398984071353786,10.490683097218511
80.43694982423952,70.15107487725633,11.528303491220129,18.108040343843204
179.51791761224504,186.27915269631563,12.991307399575632,10.453902412971988
100.67315518957598,94.58416721601807,9.365066853485622,10.06970368810724
108.0422903840162,63.50567841502426,9.174735777764258,25.323351359047795
177.77628803550652,156.3943535092437,13.570627004672955,12.667682391250771
188.9227738780201,167.9734580332652,15.62670401989164,20.319533840772163
157.79569681622658,181.8131650231352,9.820566028929225,11.69766598000674
172.90576667671925,187.57986335165955,11.589374098757766,15.193263763886454
223.4841854117984,203.7381784593988,13.269656878888556,11.98566657550084
118.5770300565853,114.01690792357608,11.402203546067476,11.393047728073936
118.25975290993507,126.16012827714276,9.243689756995495,9.494406936279372
118.92485822257618,123.80397534647746,10.733602827433808,10.951746900645416
