x_fit,y_fit_highz,fitted_k_modulus_only_H0,fitted_k_modulus_Planck_values_q0,fitted_k_modulus_Planck
0.006480580580580581,1.9529955588488173,1.4039437718278722,1.4041493627727306,1.4563030585182022
0.006590590590590591,1.9537361982365866,1.4111959283991624,1.4114009820124567,1.4635546777579282
0.006700600600600601,1.954476837624356,1.418327068435341,1.418531584719364,1.4706852804648356
0.006810610610610611,1.9552174770121253,1.4253411336733275,1.4255451126303609,1.4776988083758325
0.006920620620620621,1.955958116399895,1.4322418763541414,1.4324453179864558,1.4845990137319274
0.007030630630630631,1.9566987557876643,1.4390328711780616,1.4392357754879157,1.4913894712333873
0.0071406406406406405,1.9574393951754336,1.4457175263316018,1.4459198933212432,1.4980735890667147
0.0072506506506506505,1.958180034563203,1.45229909367146,1.452500923343125,1.5046546190885965
0.0073606606606606605,1.9589206739509724,1.458780678141618,1.4589819704975315,1.511135666243003
0.0074706706706706705,1.959661313338742,1.4651652464918559,1.4653660015342314,1.517519697279703
0.0075806806806806805,1.9604019527265113,1.4714556353589607,1.4716558530900008,1.5238095488354724
0.00769069069069069,1.9611425921142807,1.477654558765732,1.4778542391876273,1.5300079349330988
0.0078007007007007,1.96188323150205,1.4837646150873929,1.483963758202323,1.5361174539477946
0.00791071071071071,1.9626238708898194,1.4897882935301772,1.4899868993403103,1.5421405950857818
0.00802072072072072,1.963364510277589,1.4957279801625067,1.4959260486699992,1.5480797444154708
0.00813073073073073,1.9641051496653583,1.5015859635353372,1.5017834947423354,1.553937190487807
0.00824074074074074,1.9648457890531277,1.5073644399248036,1.5075614338334418,1.5597151295789133
0.00835075075075075,1.965586428440897,1.513065518227222,1.5132619748396228,1.5654156705850943
0.00846076076076076,1.9663270678286664,1.5186912245337414,1.518887143852017,1.5710408395974886
0.00857077077077077,1.967067707216436,1.5242435064094928,1.524438888435743,1.5765925841812145
0.00868078078078078,1.9678083466042053,1.5297242368998325,1.5299190816361465,1.5820727773816181
0.00879079079079079,1.9685489859919747,1.5351352182843188,1.5353295257327746,1.5874832214782462
0.0089008008008008,1.969289625379744,1.540478185597236,1.5406719557599,1.5928256515053716
0.00901081081081081,1.9700302647675136,1.5457548099318767,1.5459480428108041,1.5981017385562757
0.00912082082082082,1.970770904155283,1.5509667015443318,1.5511593971415658,1.6033130928870374
0.00923083083083083,1.9715115435430524,1.556115412771202,1.5563075710887766,1.6084612668342482
0.00934084084084084,1.9722521829308217,1.5612024407744738,1.561394061814409,1.6135477575598807
0.00945085085085085,1.972992822318591,1.5662292301256848,1.5664203138899917,1.6185740096354633
0.00956086086086086,1.9737334617063607,1.5711971752405542,1.571387721731231,1.6235414174767027
0.00967087087087087,1.97447410109413,1.5761076226743362,1.5762976318933708,1.6284513276388424
0.00978088088088088,1.9752147404818994,1.5809618732873458,1.5811513452367143,1.6333050409821859
0.00989089089089089,1.9759553798696687,1.585761184289382,1.5859501189710494,1.638103814716521
0.010000900900900899,1.976696019257438,1.5905067711710719,1.5906951685869923,1.642848864332464
0.01011091091091091,1.9774366586452077,1.5951998095295716,1.595387669681687,1.6475413654271587
0.010220920920920919,1.978177298032977,1.5998414367954696,1.6000287596857115,1.652182455431183
0.01033093093093093,1.9789179374207464,1.6044327538672551,1.6046195394975435,1.6567732352430151
0.010440940940940939,1.9796585768085158,1.6089748266592139,1.6091610750314576,1.6613147707769291
0.01055095095095095,1.9803992161962851,1.6134686875681987,1.6136543986842957,1.6658080944297673
0.01066096096096096,1.9811398555840547,1.6179153368643322,1.6181005107261686,1.6702542064716401
0.01077097097097097,1.981880494971824,1.6223157440103138,1.6225003806197644,1.674654076365236
0.01088098098098098,1.9826211343595934,1.6266708489136952,1.626854948272624,1.6790086440180956
0.01099099099099099,1.9833617737473628,1.6309815631161655,1.6311651252264252,1.6833188209718968
0.011101001001001,1.9841024131351324,1.6352487709236123,1.635431795787045,1.6875854915325166
0.01121101101101101,1.9848430525229017,1.639473330480462,1.639655818098897,1.6918095138443685
0.01132102102102102,1.985583691910671,1.64365607479156,1.643838025166817,1.6959917209122886
0.01143103103103103,1.9863243312984404,1.6477978126946462,1.6479792258285326,1.7001329215740042
