targetid,ra_1,dec_1,ppxf_sigma,ppxf_sigma_error,DER_SNR,snr_ppxf,objid_2,ra_2,dec_2,h_alpha_eqw,sigmaStars,sigmaStarsErr,veldisp,veldispErr
39628516458762164,136.286923417862,31.7249075464438,144.8579885260386,7.379095573216173,9.297493106022097,4.270215361252778,1237661383842398453,136.286927015976,31.7248930324941,-0.4330637,139.3012,7.449401,137.4627,8.566629
39633293334808359,178.160029022356,53.0648673144509,154.08862109086684,20.98923912193629,6.455311677356496,4.270068793883534,1237657857683226694,178.16004137338,53.0648869986747,-9.944133,173.547,12.11927,177.8256,13.66436
39628384573064545,193.59813533382,25.4974732433654,140.61613045887304,10.356568208544843,8.25297652575086,4.2653794600049775,1237667448343887946,193.598140836473,25.4974919801063,-2.767601,146.7337,6.381116,144.8667,7.137028
39633145301044535,242.359512808729,43.670665346127,170.35631617336534,12.407609813169833,8.805242166109899,4.262272561770359,1237659330849800479,242.359493290543,43.6706771642781,-8.433644,173.155,8.926848,171.2403,10.01458
39627775644011671,178.651066248292,-0.416101546655805,222.90246939471947,16.554495417750708,6.248560977993039,4.261522398297368,1237674649928073308,178.651086468673,-0.416091198930375,-1.810758,221.036,9.065557,191.2758,11.03829
39627799778035319,177.07066760217,0.509234936476262,207.40475558803334,6.629967927168333,13.860384473879062,4.260919531598745,1237671128052334732,177.070676756286,0.509201994565215,-1.283715,191.1098,7.27184,187.2439,7.946393
39633352340275450,183.254933200199,57.3209600293484,219.67503689065953,9.878425256941613,10.282443758793574,4.260599472959675,1237657611803820195,183.254946131269,57.320975604001,-2.243229,211.3036,6.629331,201.0995,7.052206
39633301241073760,242.750473709967,53.4277116509528,174.22993439665805,15.075315412834993,6.696357085328053,4.260231783111408,1237651539799245055,242.750447192839,53.4277053420191,-0.5375311,166.5991,6.765164,148.7837,7.268992
39633314927085900,185.439008678671,54.520807978596,132.53444796441275,15.708016318702324,7.3430301711950055,4.258999742535649,1237658916919443513,185.439014143794,54.5207913937613,-11.8262,129.1496,9.2106,149.4863,9.423224
39627794413523109,217.440128348046,0.158399967051716,163.89994030487628,14.615930650909869,6.767655833632934,4.257437020198129,1237648704591954204,217.440149397171,0.158410242012684,-0.8129787,133.8626,9.99159,138.0172,11.29642
39627865771217181,150.945228423743,3.31629121743364,145.70799302337034,11.846232064567356,6.6110957157835015,4.255611490200664,1237654600490025235,150.945230536871,3.31626759368813,-1.558328,154.0936,9.416065,151.9301,9.642097
39633290029696626,213.054639841438,52.7886667035952,277.13865802268595,12.99602832396613,9.92478309621238,4.2532476208301295,1237659133817979054,213.054646514158,52.7886626272776,-0.8540654,243.9071,6.708553,243.0871,8.103967
39627859710447015,149.446473903969,3.02826831260275,170.8177799828354,8.490401767684094,10.506497914895753,4.251456515838327,1237654604247335038,149.446502126108,3.02826980369428,-1.266392,171.7339,8.406756,176.1068,9.078498
39627770216580927,215.071828957796,-0.65316299629459,105.26403822070685,9.085550934015192,6.820103656868028,4.250283384376221,1237674604290834609,215.071847421512,-0.653169675374481,-0.327711,128.8917,7.83812,122.5722,7.986559
39632981362478505,217.695098348191,34.9184199932401,220.2444367516026,16.187916737284546,6.984677022009223,4.2500416870090465,1237662224615866676,217.695094262198,34.9184374018282,-0.2070715,204.7517,10.44103,191.4143,11.54588
39627751514177569,180.251134217904,-1.38946148442677,68.20817738951489,11.43580163856432,7.041423834412189,4.249549708299382,1237650372092690555,180.251102879017,-1.38946456272267,-17.45387,66.41776,8.014261,67.32305,8.629884
39628351622616002,194.742276853745,24.0613477503416,194.26288435616624,11.953249789321033,8.095719857088397,4.2488672967439305,1237667446733734061,194.742282087924,24.0613695548555,-0.4789044,166.3912,8.495045,156.2933,9.637855
