ra_1,dec_1,targetid_1,id,healpix,survey,program,targetid.1,z_1,zerr,zwarn,spectype,subtype,deltachi2,healpix_id,obsconditions,release,brickid_1,brick_objid,sersic_1,coadd_numexp,coadd_exptime,coadd_numnight,coadd_numtile,healpix_id.1,objid_1,brickid.1,brickname_1,ppxf_sigma,ppxf_sigma_error,DER_SNR,snr_ppxf,TYPE,SERSIC_2,Z_PHOT_MEDIAN,Z_PHOT_L95,mag_g,mag_r,mag_z,mag_B,mag_g_err,mag_r_err,mag_z_err,fibre_mag_g,fibre_mag_r,fibre_mag_z,uncor_radius,uncor_radius_err,BA_ratio,BA_ratio_error,circ_radius,pos_angle,tmass,flag,z_2,rmag,g_r_PS1_5_cor,W2_W3,W2_W3_err,PS1_ibumpy
179.126168591442,56.9781149408001,39633349009998193,2637,5983,sv2,bright,39633349009998193,0.101635193786155,3.28418116989524E-5,0,GALAXY,,1948.8438010714,2637,516,9011,608420,369,3.73625659942627,1,420.909790039062,1,1,2637,369,608420,1793p570,170.76603308084495,17.66499935179615,4.736685754776728,3.47734279560495,SER,3.7362566,0.105303355,0.08956551,18.478382,17.498577,16.834965,0.0,0.0025672629,0.0023069738,0.0014234299,19.425304,18.4455,17.781887,0.89677995,0.0022501494,0.47412723,0.001988243101943058,0.6174948,27.129654,2MASSJ11563028+5658411,1,0.1016,17.065,0.519,2.197,-9.999,0.052
190.263870044052,60.6364110413307,39633396153975479,3298,11226,sv3,bright,39633396153975479,0.133729555878931,2.80995541779539E-5,0,GALAXY,,2421.80881263129,3298,516,9011,619660,695,3.28699803352356,3,1764.478515625,3,2,3298,695,619660,1904p607,130.64468346729825,17.03377172679982,4.952889567238074,3.477233461266691,SER,3.286998,0.13189045,0.090249695,17.235817,16.371876,15.783493,0.0,0.0018249233,0.0017344669,0.0017290211,19.91009,19.046148,18.457767,5.6982765,0.0074776257,0.6394139,0.0014153424538175107,4.5565333,-16.782387,2MASXJ12410333+6038103,0,0.1339,16.372,0.634,3.052,0.078,0.246
148.946406674906,2.55989058353801,39627847622463100,3426,27344,sv3,bright,39627847622463100,0.0804718509007717,2.01848817832733E-5,0,GALAXY,,3034.72184556024,3426,516,9010,345363,3708,3.34525609016418,2,1169.33911132812,2,2,3426,3708,345363,1488p025,78.10296123601455,10.469090020641971,6.444250886481271,3.476036117435033,SER,3.345256,0.09394505,0.0731327,18.810297,17.943428,17.292105,0.0,0.0025831698,0.0016651602,0.0019296741,19.855387,18.988518,18.337194,1.0985559,0.0026201196,0.40950352,0.0016559731363790804,0.70299304,21.841816,2MASSJ09554715+0233360,1,0.0805,17.943,0.63,2.495,-9.999,0.025
209.007633395373,4.55644371465163,39627896897146308,3218,26090,sv3,bright,39627896897146308,0.114075921367012,2.58546657054069E-5,0,GALAXY,,2152.53948967019,3218,516,9010,357111,3524,6.0,1,547.21142578125,1,1,3218,3524,357111,2089p045,135.73536996847253,15.915918911124017,5.3704973590244025,3.475910728386276,SER,6.0,0.10894844,0.08933668,17.938679,17.059093,16.415836,0.0,0.0022165664,0.0016144898,0.0015169814,19.538855,18.659267,18.01601,2.3306289,7.5148937E-4,0.92060184,0.0012358036216064262,2.2361917,-5.3870373,2MASSJ13560182+0433232,1,0.1141,17.059,0.642,2.438,0.169,0.061
182.615944463156,-0.20784356444794,39627781750917964,3467,26275,sv3,bright,39627781750917964,0.11780331903389,3.37856479729921E-5,0,GALAXY,,2192.21560858237,3467,575,9010,329658,2892,2.66204810142517,2,748.109313964844,2,1,3467,2892,329658,1826m002,148.83874591489527,16.32817166434989,4.827288291486201,3.4750359309306447,SER,2.662048,0.120559715,0.09741128,18.44965,17.46867,16.811447,0.0,0.0023703473,0.0015038615,0.0013885108,19.770832,18.789852,18.132627,1.4923173,0.0024295982,0.47722197,0.0013613028237738848,1.0309114,18.651588,2MASSJ12102783-0012283,1,0.1178,17.469,0.82,2.578,-9.999,0.071
219.322904449169,34.2688799341138,39632966443337590,3290,9150,sv3,bright,39632966443337590,0.124199102027156,8.02234638778709E-6,0,GALAXY,,2839.61672158353,3290,575,9011,517209,1910,5.3208155632019,1,253.626998901367,1,1,3290,1910,517209,2193p342,128.6545281319061,25.00589668800398,5.069170474540703,3.47490882513526,SER,5.3208156,0.120762244,0.07825458,16.590624,15.804701,15.202883,0.0,0.0020271,0.0014107352,0.0012271359,19.591816,18.805895,18.204075,11.699166,0.008586199,0.8009072,0.0016516501295897488,10.469984,7.204489,2MASXJ14371747+3416077,0,0.1242,15.805,0.633,3.448,0.054,0.286
244.908754298198,43.3719145553559,39633136547531786,3521,9822,sv3,bright,39633136547531786,0.0610171324086302,3.17274416012938E-5,0,GALAXY,,1686.77891697804,3521,575,9011,557765,3082,2.85690140724182,1,231.640502929688,1,1,3521,3082,557765,2448p432,80.85031956069497,11.175962799590344,5.335833848979547,3.474198775327016,SER,2.8569014,0.063089825,0.0411742,18.665602,17.808613,17.209366,0.0,0.0035502438,0.0026390958,0.0019372202,19.642908,18.78592,18.186672,0.9093732,0.0026578554,0.523359,0.0028177088055092907,0.657873,-87.04849,2MASSJ16193810+4322191,1,0.061,17.809,0.678,1.758,-9.999,0.038
210.084390439169,4.21180162667853,39627890890900337,3208,26088,sv3,bright,39627890890900337,0.107064005323805,2.31137084843278E-5,0,GALAXY,,2874.24152491707,3208,516,9010,355679,881,3.32913088798523,1,293.065490722656,1,1,3208,881,355679,2101p042,158.52410414094385,16.966856765256942,5.203188938754323,3.474186281389658,SER,3.329131,0.11192767,0.084558934,18.046991,17.066269,16.338713,0.0,0.0015158198,0.0011949182,0.0011823191,19.39356,18.412836,17.685282,1.7303087,0.0018533103,0.3867971,7.567244377019305E-4,1.0761311,54.421043,2MASXJ14002025+0412420,0,0.1071,17.066,0.83,1.918,0.234,0.048
183.740492398617,57.1208348964206,39633349051941679,2683,11193,sv2,bright,39633349051941679,0.110982807956548,2.89799471991639E-5,0,GALAXY,,3738.43878364703,2683,516,9011,608430,815,6.0,2,2341.26342773438,1,1,2683,815,608430,1838p570,243.78760345532496,24.025744739598608,5.8836845060574605,3.4739029212246315,SER,6.0,0.108708374,0.08632897,17.366024,16.311068,15.607617,0.0,0.0022122732,0.0017838365,9.251369E-4,19.18581,18.130856,17.427404,3.2481072,0.0043858276,0.8743755,0.0019916498008156953,3.0372417,11.893317,2MASXJ12145779+5707154,1,0.111,15.705,0.845,0.689,-9.999,0.076
178.946289565433,55.0465231258706,39633321864464193,2655,5975,sv2,bright,39633321864464193,0.0801903920740387,1.35877361308674E-5,0,GALAXY,,21767.5400621407,2655,516,9011,601948,1857,3.67725110054016,3,2700.162109375,1,1,2655,1857,601948,1789p550,243.26106861484504,9.125015432062872,11.985718019803937,3.4738283627026485,SER,3.677251,0.07688036,0.06550286,16.623451,15.641756,14.973747,16.957,0.0012412911,0.0010792683,8.415448E-4,18.789122,17.807426,17.139418,3.7358687,0.0023517704,0.67442614,8.556514391751932E-4,3.0680244,8.451712,2MASXJ11554706+5502471,1,0.0802,15.139,0.801,0.807,0.293,0.19
244.585919849158,43.0995803761715,39633132126733901,3521,9822,sv3,bright,39633132126733901,0.0632651265871606,2.81386993648349E-5,0,GALAXY,,1382.9626292733,3521,516,9011,556711,1613,3.22257661819458,1,236.551803588867,1,1,3521,1613,556711,2446p430,62.733890652463536,10.593197163127098,5.48828304499123,3.473580828860056,SER,3.2225766,0.05080204,0.03925316,17.864223,17.01188,16.44245,0.0,0.0028133688,0.0020257721,0.0014974455,19.680214,18.827871,18.258438,2.473995,0.004258338,0.64639306,0.0019251526906906243,1.9890566,-20.194643,2MASSJ16182063+4305586,1,0.0633,17.012,0.695,1.129,-9.999,0.05
