objid r s i dr dr_ph ds di Sprob cz
39633076141163856 0.22569840018023368 2.2711053670454175 2.9004267473916956 0.0011924125042805 0.01059808656460442 0.024064647072988474 0.0005570919 1.0 11972.100937049605
39628443939243736 -0.4772892484253237 2.178405750195481 3.3613504712939584 0.0011682597835510193 0.02164867731238998 0.029970424719633237 0.0005906002 0.24568226651855288 5595.320744320446
39628438604091712 0.17500622138561375 2.315101242989297 2.6589318569577625 0.0007364082847822752 0.01841372104945635 0.024284404537002095 0.0004209979 1.0 6650.953616106794
39628527020015848 0.35467500217288045 2.2544246108767036 2.5524553652820474 0.0007745331303874804 0.011183956003393333 0.03088630193189257 0.000335114 1.0 11208.805822217262
39628422497963984 -0.11494411884233127 2.2286228652369653 3.2101079641162427 0.000612935469631965 0.018501632985913695 0.026277445066023173 0.00038787964 1.0 6610.8252451460385
39627598493391552 0.3297852930500306 2.1952083983265034 2.6732133916989014 0.00017995810578662086 0.03465034057570966 0.015535679504100465 6.9245914e-05 1.0 3867.92617277172
39633009904714112 0.20035266678256447 2.256420183542431 2.876929052387333 0.0011858466001902282 0.011193179451035344 0.02690566558433647 0.0004917431 1.0 11229.542962667498
39628478600973088 0.41007719985661883 2.333325936715466 2.633529095128897 0.00044099105819301807 0.01461037763184751 0.025227034641578595 0.00024638567 1.0 9017.500994524436
39628057635458016 0.2970782291160856 2.281744413039481 2.8539210682862164 0.0007002886225557364 0.012692083696482524 0.02376377764833769 0.00033577764 1.0 9759.791799212824
39627769679713312 0.26494235539045796 1.9840242253654987 2.569092395121369 0.0010655099837787079 0.01183065664864858 0.03567610190153407 0.00044626585 1.0 10496.303515740554
39628443956022816 0.353108017857295 2.260172746839519 2.774421485948049 0.00038660696567928903 0.016125792146034514 0.024207756979393875 0.00020596533 1.0 7658.148821080405
39628511715003624 0.1569304859596979 2.1435762568612633 2.8122673821602273 0.0004705670519505286 0.01252872204859586 0.03315070862630692 0.00042514072 1.0 9950.709069778977
39627842731901888 0.626540022884597 2.2521977224845817 2.2917314670933573 0.0003989968666801563 0.015504839129973722 0.036022089707128724 0.00023480094 1.0 8011.0358173197465
39627659101081424 0.20873245647160274 2.2933999791775594 2.722342019411462 0.00046555838864870326 0.012783156234559282 0.02617808903713106 0.0004979234 1.0 10117.11258987162
39628422493768568 0.6859729340542374 2.3621065728509394 2.5666435355886685 7.886455881112194e-05 0.015492496522315376 0.0187456126682603 0.00021620053 1.0 7975.927986851503
39628411752156936 0.551894217740003 2.362210070706809 2.4560826645941143 0.0005234339093521473 0.017179861297970982 0.03075892490752129 0.00023983762 1.0 7156.415790296649
39628438595703000 0.23284307624935976 2.231058472745348 2.636616154739291 0.0006458247400695078 0.019282389747844547 0.03506392202239441 0.00035720263 1.0 6331.588104297205
39628433256350472 0.30949821840980485 2.215714177285827 2.6735433510108564 0.0003389947899628725 0.01747061312245073 0.035184489029138254 0.0003120869 1.0 7030.873508680746
39628427900225096 0.22263465977455854 2.2169166404150054 2.6263161050137667 0.0006975862020835966 0.01727824369231307 0.028883017134454087 0.00041189164 1.0 7114.123809827528
39633345767802656 0.17907381621281612 2.3797689062213823 2.9198218383222505 0.0005629908786302829 0.02586656226820821 0.018099402245797813 0.0002822591 1.0 4734.475924821476
39628438604088992 0.09423472446260493 2.091435859611722 2.659469106472308 0.0009680198189562539 0.017671034728747412 0.03475873869383537 0.00052568835 1.0 6947.467215078004
39633132164481896 0.43027233131721165 2.263721918400877 2.349797117065086 0.0012675824969669194 0.013290061733041795 0.02486197886209704 0.00058716687 1.0 9636.517071949887
39627781784470448 -0.1418542203300972 1.9969855482319525 3.0939339026645296 0.0019133156351051799 0.010833140326619538 0.03324291861695887 0.0007388959 0.9316204424235086 11512.07231681449
