targetid_1,ppxf_sigma_1,ppxf_sigma_error_1,DER_SNR_1,snr_1,targetid_2,ppxf_sigma_2,ppxf_sigma_error_2,DER_SNR_2,snr_2
39628422523128777,270.979717906654,1.6678398325066528,76.53831117514214,31.694018142007554,39628422523128777,272.2799360600948,3.681935154764857,32.48946149005722,23.013709490419338
39633414139152343,201.60640973141417,3.159260543063527,30.542205946792194,23.563168949727583,39633414139152343,214.8147540448543,6.945502494415958,12.123246645494183,10.43096252363041
39628427904419833,114.28398789832501,2.6215161328890035,31.088999635494478,23.428559112697133,39628427904419833,126.26252376409357,6.74511442287602,12.70405281298339,7.761992255851641
39628433256354044,268.2015383883623,3.9120553426443605,29.731936554684847,22.583369052998393,39628433256354044,279.8747029272523,6.119211154791716,23.865334849408054,15.275023311243473
39633321809937054,209.37875587959496,3.896653667033511,30.964459431363352,22.576961220138045,39633321809937054,199.9461540971595,2.494411025153115,34.994847725484995,22.297519095924052
39628438595703001,171.46592001763233,3.1854128741901095,25.76693947713416,22.300390370884735,39628438595703001,167.48260308093847,4.427018767206478,21.23341602035639,16.35453767379774
39632991726602849,208.79927149850946,3.8801637900604535,29.96437926883086,21.972005592883296,39632991726602849,210.14428199963805,4.236909731064037,25.638122296978352,19.125804427649168
39627788398891720,253.08029766709507,2.8591217123194084,44.9697737510167,21.71522275894055,39627788398891720,257.5761897613089,4.428441527695509,27.30555517936813,19.836875281206996
39628427908615440,201.49026447394667,3.7593737625875514,23.632597440021325,20.79379786267562,39628427908615440,192.76641392032099,4.826353173328469,21.447633990370704,17.615814797225948
39628427904418114,189.58547861896926,3.506485132351627,27.357082518610337,20.56407755372085,39628427904418114,185.24554318983326,4.679531848630484,21.198024327747476,15.405310388319212
39628438612479216,192.6850877091151,3.5721514441017885,27.560409815082494,20.557557023390416,39628438612479216,201.6715697546508,4.915097233977221,23.40135637484213,18.422746723678493
39627847618267567,171.58787200055045,3.463244458551404,27.83610303402089,20.526227267223973,39627847618267567,174.3769326426976,7.218271625733433,14.782627179781992,11.366872061140967
39628433264739337,145.583562404314,3.149776359552202,25.38559230316572,19.777874793720766,39628433264739337,139.22308356682785,4.4580868478237985,18.118968373204027,13.575823929792572
39633267183322325,132.15795563708974,1.7615628064077862,47.381173918525256,19.707291947085825,39633267183322325,129.4530099623924,2.6015200549428164,31.926196265193653,17.614313055799343
39633419746937673,243.45001533233958,4.5034770317742225,31.025389076321954,19.69144294927337,39633419746937673,238.2009932076387,6.690787445507539,18.21943782857552,13.99618508412158
39633408476842376,223.1622760349194,3.7497581678649903,31.15336175381654,19.440150488091966,39633408476842376,222.65658938974423,5.608401055653943,21.806885103616537,15.55756651552335
39628427896030789,214.8947314991265,3.945197422844239,25.166723570418007,19.346307065926204,39628427896030789,222.93365424398527,3.913591519487886,26.04862182373334,18.352670724696345
