ppxf_sigma,veldisp,ppxf_sigma_error,veldispErr,sigmaStars,sigmaStarsErr
160.81776635018446,159.5188,3.704761845752405,5.629338,155.1704,5.373511
168.41240799857795,172.5705,3.483371840518944,3.856438,185.5511,3.395405
142.56904145423647,136.575,3.342564833488515,4.089444,147.5389,3.757111
219.38213680452117,215.6107,4.199645370708589,4.676748,222.1235,3.787479
142.62754763396998,154.0988,3.4053489718269825,4.321488,156.9977,3.974428
134.47179796356824,145.9577,2.6999393124985174,3.396764,149.9151,2.827931
137.443263088577,138.6613,2.3516731756001965,2.636375,143.6867,2.327534
192.8968444179837,176.3169,4.156822097027987,3.213219,179.4664,2.780286
139.09705051416154,151.0563,3.816047818646101,3.791429,154.9402,3.367535
194.53412130280185,195.5668,3.435769474827568,4.909506,207.7706,4.258351
201.3466999632678,187.7886,4.6842717817433845,4.452482,206.2567,3.736534
111.40536600321094,106.4973,2.6434080395331474,3.763891,107.9975,3.3724
79.44592349073346,86.22614,2.2914844682595783,3.424364,83.56862,3.083818
89.32566863918953,84.40525,3.0982376630990545,3.918181,81.14072,3.385594
172.98348655095376,155.5923,4.359292899075521,3.084268,169.9714,2.775621
124.06803781055623,129.7074,3.265286908355364,4.272767,124.7254,3.92042
276.1486998515072,242.9956,6.19513031095484,4.47506,260.0549,3.580194
199.9463179966585,187.1034,4.411070906654712,3.970229,198.5405,3.518587
94.58635965193172,92.16922,2.609859965622132,4.008612,91.54948,3.469704
162.74557955919283,159.7741,4.318112281669413,3.036466,169.5367,2.714199
119.02770615180708,117.7597,3.0561379434581264,4.309605,117.0907,3.79298
132.13075950845945,131.4845,3.2679756907687056,3.39304,140.073,3.159488
177.44526797429364,172.577,4.377579740318937,3.350978,184.6819,2.805471
254.6013540252457,239.8359,6.342802521954555,3.899352,253.1983,3.235643
77.03155160084489,89.89149,2.4037293173722185,3.629357,84.78228,3.171175
139.01176728105034,130.825,3.7659102655893073,2.996133,145.0083,2.613116
276.8393455078515,248.8629,6.832562161429359,4.186852,261.8948,3.71176
165.0569715488881,174.6278,3.949090181109512,3.617036,172.0141,3.247902
182.8014894770037,180.3915,4.065529106045507,4.310974,194.7525,3.88347
195.36735953820735,178.6898,5.291860808159272,3.619487,191.7357,3.214885
128.12109428281732,119.5525,2.227507869557241,4.667109,129.2686,4.088856
98.34892281440588,91.57794,3.1005312240019407,4.391864,92.922,3.903816
122.05413865615118,131.1689,2.8677265961147613,2.719988,128.4473,2.499302
184.0934390404917,180.1696,4.286755716247157,3.157868,189.3183,2.605065
133.89635184581368,123.31,3.916112146975127,3.730988,121.9128,3.229522
89.6688877754315,93.48296,3.085949865053307,4.026932,92.08025,3.72258
155.1810685996076,163.9186,3.051887158829338,3.374964,150.4745,2.861111
111.26094126843388,106.5643,3.2384540664890733,3.686878,114.0333,3.261416
94.5814157711528,91.51988,1.5201113941623772,2.796482,88.51466,2.447719
123.20809977924964,124.5225,2.444975480698232,2.763045,126.6545,2.496821
99.9434260395464,92.09766,3.062639379276672,3.321615,96.68439,2.987101
225.55975608160887,209.4739,5.980138464855026,4.249413,223.0278,3.927057
230.0075058597204,225.1938,5.375093342084726,3.672982,236.4078,3.183593
199.04153562816225,181.0708,5.361940863360856,4.060721,194.4646,3.535776
268.67545247969,238.8069,5.379267557810491,4.48247,254.0067,3.664193
205.4023929472363,181.7785,5.307366854079113,3.471858,195.0729,3.120245
257.0979914439192,233.9073,6.009757969883975,4.279651,258.2003,3.824897
154.99294486359992,156.3089,3.271442879547646,4.308745,165.9776,3.988322
178.85265424708027,174.7822,4.247425827578877,3.36447,184.7594,2.956244
135.6471639590155,119.3176,4.0452208756315,3.618067,134.8099,3.146119
110.5089706624988,124.8745,3.95981073512176,4.268082,126.6823,3.700664
202.73951974371,167.9856,4.825393718098834,3.79614,188.0654,3.093988
177.63685288142892,161.2621,4.524533116731099,2.793301,175.7078,2.494935
131.31390133917623,139.202,2.727920736565568,3.439502,142.7823,2.967215
73.34543637317385,80.02869,2.3157470531446345,4.929621,82.21081,4.59791
174.11909355494362,166.5502,4.920553467794013,3.668772,177.968,2.906825
150.89185984407078,157.1741,3.7277173542710895,4.473543,163.4171,3.94614
125.74427839030623,117.9427,1.9745248721075144,3.209214,119.0528,2.973056
109.37408874484204,114.7037,3.208088220385132,3.396798,117.1956,2.96245
166.85598988361264,149.1035,5.446240102798786,3.448432,163.4557,2.975251
114.66169290363382,106.619,3.3561158054038764,2.988146,114.3171,2.823268
212.01038354801392,210.3839,5.091450371711589,3.694709,218.6615,3.551758
145.0828781219532,140.7209,3.391429011282144,3.365244,140.6737,2.858443
196.93535007532816,202.4011,5.202153873225376,4.842048,220.4313,4.05634
76.41674585205668,69.69924,2.771945093420023,3.754183,70.75581,3.556192
120.60110443203185,114.3192,3.398471339230096,3.063064,119.1323,2.633829
153.07386149848045,131.3255,4.457325430553358,3.98131,144.4495,3.73589
190.8544771917909,199.1495,4.888853337765839,5.063608,204.8561,4.428582
206.46065982084616,189.9913,5.527383236135491,3.619592,194.2194,3.012985
116.95974771502463,114.5256,4.243964361697259,3.891973,114.3324,3.352256
115.28051110261934,117.6566,4.34878849782674,4.21763,113.6285,3.666189
169.43687072946904,148.5636,5.148027167921315,3.419148,162.501,2.880613
167.51464542937248,164.7784,4.496745898357375,4.430417,170.2472,3.668294
139.46312676149165,130.4861,3.255046051206615,3.018987,140.8475,2.657735
221.9668609342473,208.52,6.214530068107187,3.449729,219.9592,3.176722
